
UC;OLD_NIO;NEW_NIO;DATA
101124198;44000781;44000781;6/20/2024
100912206;44000241;44000241;6/20/2024
64404420;44251689;44251689;6/21/2024
59663936;44252048;44252048;6/21/2024
59663804;44252053;44252053;6/21/2024
90736800;44252047;44252047;6/21/2024
59664002;44252050;44252050;6/21/2024
25275330;44252056;44252056;6/21/2024
60404442;44000281;44000281;6/20/2024
76427889;44000284;44000284;6/20/2024
91164761;44250053;44250053;6/21/2024
93440138;44250054;44250054;6/21/2024
77549554;44251919;44251919;6/26/2024
80975585;44251706;44251706;6/21/2024
57261075;44251926;44251926;6/26/2024
51229153;44252051;44252051;6/26/2024
80055915;44251925;44251925;6/26/2024
80587135;44251917;44251917;6/26/2024
84937939;44251924;44251924;6/26/2024
90492099;44252054;44252054;6/26/2024
107794373;44251722;44251722;6/26/2024
72482249;44252033;44252033;6/26/2024
46514600;44252035;44252035;6/26/2024
108873854;44252034;44252034;6/26/2024
85112828;44252028;44252028;6/26/2024
88228037;44252027;44252027;6/26/2024
46514686;44252031;44252031;6/26/2024
79340288;44252036;44252036;6/26/2024
82000662;44252032;44252032;6/26/2024
102675279;44252222;44252222;6/26/2024
102975418;44252221;44252221;6/26/2024
107613972;44251765;44251765;6/26/2024
107361078;44251797;44251797;6/26/2024
108049680;44251805;44251805;6/26/2024
107128349;44251759;44251759;6/26/2024
108000176;44252217;44252217;6/26/2024
108605213;44252224;44252224;6/26/2024
108514013;44252226;44252226;6/26/2024
108432190;44251761;44251761;6/26/2024
108146197;44252220;44252220;6/26/2024
108924955;44252225;44252225;6/26/2024
89931807;44000921;44000921;6/24/2024
8387869;44000246;44000246;6/21/2024
104923792;44000250;44000250;6/21/2024
67838146;44000245;44000245;6/21/2024
8387850;44000248;44000248;6/21/2024
104997184;44000734;44000734;6/21/2024
110539761;44250516;44250516;6/24/2024
111791995;44000929;44000929;6/24/2024
97750484;44251676;44251676;6/21/2024
44905947;44252598;44252598;6/28/2024
8390550;44000872;44000872;6/24/2024
8390541;44000877;44000877;6/24/2024
103169946;44251696;44251696;6/21/2024
46273123;44250047;44250047;6/21/2024
97481661;44252293;44252293;6/24/2024
49639978;44250089;44250089;6/27/2024
92585663;44000346;44000346;6/21/2024
95578838;44251844;44251844;6/21/2024
95648321;44251845;44251845;6/21/2024
95648267;44251837;44251837;6/21/2024
52706109;44250085;44250085;6/20/2024
95509828;44251842;44251842;6/21/2024
49639943;44250086;44250086;6/27/2024
88514471;44250084;44250084;6/27/2024
61655392;44000342;44000342;6/21/2024
44939990;44251841;44251841;6/21/2024
57081484;44250097;44250097;6/20/2024
35843489;44000348;44000348;6/20/2024
51910217;44250099;44250099;6/20/2024
61937983;44000347;44000347;6/21/2024
63141094;44000343;44000343;6/20/2024
69885494;44000341;44000341;6/21/2024
56498721;44250091;44250091;6/20/2024
89311809;44000344;44000344;6/21/2024
85394343;44000350;44000350;6/20/2024
45177724;44251838;44251838;6/21/2024
87463148;44250098;44250098;6/20/2024
73120855;44250094;44250094;6/20/2024
81473818;44250090;44250090;6/20/2024
74904892;44250083;44250083;6/20/2024
78056756;44251839;44251839;6/20/2024
89423194;44251840;44251840;6/20/2024
83264701;44250093;44250093;6/19/2024
77976738;44251846;44251846;6/20/2024
82192162;44250082;44250082;6/20/2024
84525428;44250092;44250092;6/20/2024
85777919;44250088;44250088;6/20/2024
71197516;44250095;44250095;6/20/2024
78019400;44250100;44250100;6/20/2024
59764180;44250087;44250087;6/20/2024
88095584;44250887;44250887;6/24/2024
92063292;44000345;44000345;6/27/2024
92063268;44000632;44000632;6/24/2024
96039345;44250164;44250164;6/26/2024
97211060;44250166;44250166;6/26/2024
61421243;44251843;44251843;6/26/2024
85573094;44250162;44250162;6/26/2024
79485235;44250161;44250161;6/26/2024
42351995;44252605;44252605;6/26/2024
75784572;44250030;44250030;6/25/2024
59857854;44250022;44250022;6/25/2024
8364923;44250568;44250568;6/28/2024
111151813;44250569;44250569;6/28/2024
56136269;44252223;44252223;6/25/2024
84478276;44000610;44000610;6/28/2024
46198067;44250562;44250562;6/28/2024
75219190;44250131;44250131;6/28/2024
75784548;44250447;44250447;6/25/2024
59812095;44250028;44250028;6/25/2024
56530307;44000737;44000737;6/25/2024
76060012;44251693;44251693;6/25/2024
76096351;44250027;44250027;6/25/2024
97914444;44251793;44251793;6/26/2024
108350983;44252139;44252139;6/27/2024
94965730;44252127;44252127;6/28/2024
95495835;44252129;44252129;6/28/2024
95215891;44252130;44252130;6/28/2024
91636035;44252131;44252131;6/28/2024
99610981;44252173;44252173;6/28/2024
91525578;44252174;44252174;6/28/2024
94006709;44252134;44252134;6/28/2024
91386608;44252167;44252167;6/28/2024
93002815;44252168;44252168;6/28/2024
99441209;44252136;44252136;6/28/2024
97974358;44252063;44252063;6/28/2024
8363870;44000694;44000694;6/26/2024
97530379;44251825;44251825;6/26/2024
88426904;44000690;44000690;6/26/2024
90818725;44000689;44000689;6/26/2024
100134734;44251826;44251826;6/26/2024
102442487;44251818;44251818;6/26/2024
98001663;44252008;44252008;6/27/2024
84534672;44000043;44000043;6/26/2024
97110108;44000047;44000047;6/26/2024
97110230;44000050;44000050;6/26/2024
89831527;44000676;44000676;6/26/2024
86472330;44000041;44000041;6/26/2024
89444760;44000045;44000045;6/26/2024
36541907;44252012;44252012;6/26/2024
87660709;44000685;44000685;6/27/2024
60256699;44000681;44000681;6/26/2024
88074170;44000687;44000687;6/26/2024
90658434;44000684;44000684;6/27/2024
84468467;44000049;44000049;6/26/2024
101827393;44251821;44251821;6/26/2024
89837169;44000042;44000042;6/26/2024
101490879;44251822;44251822;6/26/2024
8365830;44252011;44252011;6/26/2024
98714961;44251824;44251824;6/26/2024
87458462;44000046;44000046;6/26/2024
76478661;44000682;44000682;6/27/2024
88425614;44000686;44000686;6/26/2024
101634455;44252010;44252010;6/26/2024
100685862;44251817;44251817;6/26/2024
101634439;44252013;44252013;6/26/2024
94020930;44251850;44251850;6/26/2024
96049111;44251855;44251855;6/26/2024
93863063;44250169;44250169;6/26/2024
94924279;44250165;44250165;6/26/2024
94544867;44251854;44251854;6/26/2024
79401708;44000282;44000282;6/27/2024
8390142;44000283;44000283;6/21/2024
52476774;44251716;44251716;6/20/2024
94732507;44000285;44000285;6/20/2024
103398155;44000288;44000288;6/20/2024
8390118;44000286;44000286;6/21/2024
44749171;44000289;44000289;6/21/2024
97621439;44251667;44251667;6/20/2024
8390100;44251715;44251715;6/21/2024
8388660;44250518;44250518;6/24/2024
55095410;44000683;44000683;6/26/2024
77663179;44000287;44000287;6/20/2024
8402906;44000989;44000989;6/24/2024
62024302;44252585;44252585;6/24/2024
44875444;44000984;44000984;6/24/2024
8402922;44000983;44000983;6/24/2024
88650332;44000349;44000349;6/27/2024
56335440;44250774;44250774;6/24/2024
