
UC;NEW_NIO;OLD_NIO;DATA
78391377;44715293;410879300;10/7/2024
102469474;45456948;273131014;10/7/2024
100323774;44259419;352431879;10/7/2024
102777225;44259420;372930550;10/7/2024
105549371;44259423;391731400;10/7/2024
101731000;44259417;361832338;10/7/2024
100511732;45459920;353231214;10/7/2024
8150346;44714899;804440125;10/7/2024
86775502;45459919;431377503;10/7/2024
73662429;45459878;421177427;10/7/2024
8149720;44714900;813040814;10/7/2024
85683620;45459924;300930616;10/7/2024
30519390;44714905;844240225;10/7/2024
69698309;44714896;400151106;10/7/2024
8150257;45459883;864231306;10/7/2024
49013076;45459890;222830219;10/7/2024
59198435;45459891;972032199;10/7/2024
86308599;45459886;211330161;10/7/2024
37420968;45459849;913230341;10/7/2024
53074890;44709972;342642051;10/7/2024
36753491;45459853;972032198;10/7/2024
82119481;45459889;291132347;10/7/2024
33118000;45459848;953432960;10/7/2024
84643064;45255519;272232075;10/7/2024
29365074;45255510;210530031;10/7/2024
85250457;45255516;393033480;10/7/2024
89386027;45255513;913233022;10/7/2024
88512266;45255511;292630771;10/7/2024
27724638;45255515;933530030;10/7/2024
111708338;45459801;421976848;10/7/2024
101585837;45459799;361832781;10/7/2024
93620810;45459798;390634989;10/7/2024
95033980;45254830;333934947;10/7/2024
92574998;45459800;351730021;10/7/2024
27547400;44708511;333841671;10/7/2024
70801096;45254715;291431797;10/7/2024
44964250;45254717;340131525;10/7/2024
98306308;45254713;310731227;10/7/2024
87801906;45254763;415577630;10/7/2024
87368447;45457053;393033475;10/7/2024
87048868;45254761;301330886;10/7/2024
87207680;45254768;370232430;10/7/2024
97968684;45457051;342642276;10/7/2024
100767974;45254762;360131680;10/7/2024
95364242;45254710;340730593;10/7/2024
95364218;45254769;340730597;10/7/2024
97879452;44714813;342642295;10/7/2024
109767365;44571658;420369884;10/7/2024
8440212;44714816;342940274;10/7/2024
110902734;44571656;430781387;10/7/2024
111986320;44710285;431180944;10/7/2024
111893933;44571652;431081008;10/7/2024
8441502;44571653;401469969;10/7/2024
111915236;44710284;431779796;10/7/2024
89221737;45256208;223531647;10/7/2024
61251771;45457108;244131757;10/7/2024
54747031;45256201;224431051;10/7/2024
73088277;45256202;330330799;10/7/2024
94393451;45457111;331231987;10/7/2024
94183937;45457106;331932391;10/7/2024
94196419;45457107;331232738;10/7/2024
94142424;45457109;331232792;10/7/2024
99711028;45457112;353132483;10/7/2024
94169829;45256204;331131669;10/7/2024
91211832;45460174;291132637;10/7/2024
58221050;44715301;774141459;10/7/2024
83107002;45460166;291131283;10/7/2024
49763954;45460170;340131932;10/7/2024
89283236;44709221;301140489;10/7/2024
99966450;45461092;312830343;10/7/2024
90545680;45461091;310530751;10/7/2024
90423186;45461085;310530752;10/7/2024
90809270;45461094;421276167;10/7/2024
99623587;45461088;312930310;10/7/2024
91412129;45461090;222831093;10/7/2024
98827847;45461093;312831600;10/7/2024
98489593;45461089;854730388;10/7/2024
96343770;45461042;324333338;10/7/2024
96692669;45461035;341833958;10/7/2024
8335966;45461038;351230369;10/7/2024
22204008;45461036;342342302;10/7/2024
77798368;45461037;403372610;10/7/2024
94626219;45461027;944831544;10/7/2024
96680270;45461031;294230960;10/7/2024
92783562;45461033;330330108;10/7/2024
101520581;45461032;362430011;10/7/2024
106587200;45461030;393034452;10/7/2024
107633230;45461029;393334611;10/7/2024
109432720;45461062;412678122;10/7/2024
105946214;45461059;391231665;10/7/2024
104947012;45461064;392330327;10/7/2024
37632655;44714878;322544009;10/7/2024
95216588;45461056;423276718;10/7/2024
95052895;45461063;340131897;10/7/2024
95558292;45461058;340131893;10/7/2024
93462590;45461060;323341666;10/7/2024
96764902;45461057;391933800;10/7/2024
92933742;45461055;340634696;10/7/2024
63136309;44714851;342040937;10/8/2024
60807997;45256994;341832845;10/8/2024
85893889;45256998;300930625;10/8/2024
86721720;45256999;324331738;10/8/2024
101954506;45256996;362430861;10/8/2024
8344183;45256993;324732821;10/8/2024
8346399;44714848;311244113;10/8/2024
37367200;44709711;973240611;10/8/2024
102020000;45257021;370231633;10/8/2024
109243544;45257027;412477044;10/8/2024
103667172;45257029;370733120;10/8/2024
43241433;44708292;952841330;10/8/2024
98910370;45459830;352432935;10/8/2024
91790891;45458446;312930399;10/8/2024
97400220;45458453;350133583;10/8/2024
98987925;45458447;321330970;10/8/2024
92781071;45458445;324030300;10/8/2024
91410746;45458449;413378368;10/8/2024
87805324;45458450;291131219;10/8/2024
82192685;45256528;292632033;10/8/2024
90690400;45459831;373530689;10/8/2024
93062710;45458448;324030880;10/8/2024
99943026;45458454;422978288;10/8/2024
94635773;45458452;311332549;10/8/2024
88549550;45255963;302030040;10/8/2024
88072320;45255967;294732899;10/8/2024
88549534;45255964;302030037;10/8/2024
8411964;45255961;933030467;10/8/2024
86222821;44707704;933441090;10/8/2024
34807837;45457091;961731323;10/8/2024
98714937;45457085;352434996;10/8/2024
38672103;44715559;982242925;10/8/2024
60122110;44711633;262641766;10/8/2024
20408005;45252133;360133762;10/8/2024
57419701;45460283;852435191;10/8/2024
8348219;44711730;913640017;10/8/2024
8348278;45460275;353630397;10/8/2024
107538555;45460282;393233792;10/8/2024
98940805;45460276;400630824;10/8/2024
97280038;44711733;421479851;10/8/2024
66515696;45458365;233731842;10/8/2024
76068013;45457132;273330507;10/8/2024
75154900;45457131;280431357;10/8/2024
27129640;45252108;373332985;10/8/2024
8361339;45252105;393234807;10/8/2024
101451741;45457095;362430401;10/8/2024
101451865;45457103;362430404;10/8/2024
101451873;45457096;360131752;10/8/2024
101451717;45457097;362433205;10/8/2024
99785030;45460643;414777635;10/8/2024
111223695;44710675;413180711;10/8/2024
70147418;45460642;414976338;10/8/2024
99595354;44715542;341644039;10/8/2024
113017553;45460636;391033679;10/8/2024
21301468;45457078;991630291;10/8/2024
109162218;45457083;422976677;10/8/2024
112715664;45457075;430377306;10/8/2024
66808863;45457080;370534409;10/8/2024
93190980;45461065;312130888;10/8/2024
85260410;45461069;300932207;10/8/2024
77824750;44709244;282840173;10/8/2024
82248060;44709246;290342696;10/8/2024
71630163;45461071;773231305;10/8/2024
62399942;45461074;310530511;10/8/2024
83694420;44708799;342641459;10/8/2024
20020589;45459926;894232259;10/8/2024
19676492;45459928;900431995;10/8/2024
78126878;45254178;901630954;10/8/2024
19676450;44708726;790142425;10/8/2024
23148470;44708722;893241083;10/8/2024
85012475;45254177;900430035;10/8/2024
102528489;44570525;431081562;10/8/2024
8208000;44715490;422479430;10/8/2024
8208018;45460659;353134411;10/8/2024
91027179;44715491;860440612;10/8/2024
85721298;45255458;250130121;10/8/2024
70156131;45255457;240933380;10/8/2024
36886823;45255504;294731210;10/8/2024
76845770;45255499;230730251;10/8/2024
94042578;44715492;400742155;10/8/2024
52509451;44709283;823140215;10/8/2024
56220839;45255498;421178415;10/8/2024
110126068;45256380;423278334;10/8/2024
29732239;45256385;412678397;10/8/2024
110989910;45256387;421178702;10/8/2024
50975986;45256388;301731966;10/8/2024
8337063;45256386;980432879;10/8/2024
76737039;45256389;904630467;10/8/2024
31926061;45256384;331130111;10/8/2024
98102915;45457930;361832534;10/8/2024
57060347;45457925;422877220;10/8/2024
104041803;45457928;362930015;10/8/2024
88124681;45457927;302031293;10/8/2024
76968588;45457031;282840420;10/8/2024
68032838;45457929;264131350;10/8/2024
85599980;45457933;400632011;10/8/2024
30894484;45457926;340231089;10/8/2024
63747030;45457932;423278281;10/8/2024
73072761;45461051;390731746;10/8/2024
56821301;45461050;415578951;10/8/2024
73998303;45461054;274731329;10/8/2024
62547330;45461047;951630264;10/8/2024
95547940;45461048;294431667;10/8/2024
50705962;45461045;944831671;10/8/2024
8359458;45461049;274730740;10/8/2024
8212783;45254674;324333733;10/8/2024
8212759;45457011;894032353;10/8/2024
112335918;45254675;430876192;10/8/2024
8209472;44715519;370572741;10/8/2024
28092490;44715516;221342880;10/8/2024
82248214;45457009;914831411;10/8/2024
80102476;45457010;981230932;10/8/2024
95485457;44711260;334043235;10/8/2024
111852714;44715280;431780759;10/8/2024
110717350;44715284;421079157;10/8/2024
111101026;44715260;421979158;10/8/2024
106395386;44715283;352841308;10/8/2024
105781860;44715282;341541659;10/8/2024
110172051;44715281;412580866;10/8/2024
108277976;44715256;401141835;10/8/2024
102563020;45255737;371733712;10/8/2024
102663602;45255734;372431833;10/8/2024
102671893;45255736;372431832;10/8/2024
102626782;45255739;371731639;10/8/2024
102672750;45255733;410878084;10/8/2024
102577021;45255735;372430664;10/8/2024
91228034;45255730;244830158;10/8/2024
102547777;45255732;371733715;10/8/2024
90126700;45255772;252232833;10/8/2024
8310289;45255773;310530687;10/8/2024
90447875;45255776;224133433;10/8/2024
102648018;45255777;372430770;10/8/2024
89755510;45255731;390933908;10/8/2024
102489777;45255738;370533533;10/8/2024
89754085;45255779;361732263;10/8/2024
89848365;45255775;390933910;10/8/2024
95445595;44715176;334043239;10/8/2024
26458985;44715177;413279326;10/8/2024
110836421;44715175;412579465;10/8/2024
8212686;44715212;402373206;10/8/2024
110507401;44715111;420580062;10/8/2024
8213925;44570142;401369636;10/8/2024
32285442;44715210;370372745;10/8/2024
44035497;44715173;421080105;10/8/2024
39414140;44709174;421080138;10/8/2024
103648151;45457885;373131349;10/8/2024
100769284;45457859;360131973;10/8/2024
97131431;45457862;343233057;10/8/2024
97575089;45457855;350134239;10/8/2024
97508578;45457889;350133764;10/8/2024
98728296;45457863;353230976;10/8/2024
109718917;45457857;414376466;10/8/2024
101033648;45457893;353130955;10/8/2024
102117489;45457860;370231374;10/8/2024
97046515;44707823;323342373;10/8/2024
20085680;45457887;381030310;10/8/2024
55336736;45457892;243233019;10/8/2024
108408981;45457864;410876833;10/8/2024
109286553;45457891;411976665;10/8/2024
106465775;45457861;393532093;10/8/2024
106021915;45457888;393032046;10/8/2024
109173104;45456989;412477563;10/8/2024
89664175;44282882;894231148;10/8/2024
64292819;44282883;992431443;10/8/2024
84337524;44714837;982240750;10/8/2024
8384118;44714822;391073054;10/8/2024
30686660;45460701;423177313;10/8/2024
8384100;45460700;401030126;10/8/2024
90831233;45460697;310833963;10/8/2024
56474369;45460696;421077299;10/8/2024
74443631;44710339;280241323;10/8/2024
83709843;44710366;352542216;10/8/2024
8214336;44710334;323941709;10/8/2024
75850931;44710367;994540118;10/8/2024
106376039;45254070;393532735;10/8/2024
106463640;45254078;392031414;10/8/2024
107674564;45254116;393234674;10/8/2024
107215829;45254077;401031215;10/8/2024
