
UC;NEW_NIO;OLD_NIO;DATA
111122660;45461160;421977782;10/18/2024
64929868;45764909;973240273;10/23/2024
40055256;45764805;990840922;10/23/2024
93611250;44015570;294705801;10/25/2024
105321770;44252845;44252845;9/6/2024
8209235;44015947;771303512;10/23/2024
48800058;44254073;972032706;10/23/2024
84231890;44715222;301441166;10/18/2024
84210745;44023369;841412267;10/28/2024
67721770;44017682;400103892;10/25/2024
23340550;45461494;920433540;10/23/2024
86701827;44014549;810913083;10/25/2024
52105938;44022146;230502351;10/28/2024
80350062;44016954;312114140;10/28/2024
78176034;45001636;292106985;10/25/2024
45966427;45700427;202041139;10/23/2024
113460619;44253396;44253396;9/3/2024
110059603;44016950;413874067;10/28/2024
8336121;45461777;413076337;10/23/2024
47566892;45001763;282622792;10/25/2024
90257944;45461956;254034224;10/20/2024
107977982;44253628;44253628;9/13/2024
113550812;44252823;44252823;9/18/2024
56582820;44014862;770202593;10/25/2024
78660513;44015185;284203451;10/28/2024
93317085;45458311;311332667;10/18/2024
51823993;44016922;952306224;10/28/2024
105901849;45461162;390731534;10/18/2024
105622524;44023028;412474459;10/25/2024
54415071;44014664;953613149;10/25/2024
47471921;45700403;201840638;10/23/2024
92656048;44015675;312114344;10/23/2024
38971542;44023527;982601733;10/23/2024
8335109;44014020;762902514;10/23/2024
38846969;44015895;981609432;10/25/2024
86503200;44023532;982601828;10/23/2024
87201429;45461994;333930046;10/28/2024
39094898;44019351;801311914;10/28/2024
88431916;44287036;370230204;10/28/2024
47039370;44013397;221307602;10/23/2024
75304147;45001255;321301673;10/28/2024
113434790;44255204;44255204;8/28/2024
113434758;44255180;44255180;8/28/2024
113521243;44704394;44704394;9/11/2024
37295209;44016905;973503583;10/25/2024
113457774;44252741;44252741;8/29/2024
48928828;44019259;224800098;10/28/2024
72220511;44014789;411874107;10/28/2024
79382193;44710636;883240640;10/15/2024
87127725;44287086;241731999;10/23/2024
74230182;44019280;273119729;10/28/2024
8329052;44294346;864230976;10/28/2024
74230107;44019281;273119693;10/28/2024
42427029;44020513;914810627;10/23/2024
78712319;44571674;251769699;10/28/2024
53447867;44715447;322543920;10/23/2024
60322950;44012497;243806648;10/23/2024
8295115;44016914;301107288;10/25/2024
58401890;44019255;914813696;10/28/2024
8339180;44259265;310530813;10/23/2024
94164827;44254060;331934160;10/28/2024
113464711;44252732;44252732;8/30/2024
74024507;44016910;782804128;10/25/2024
86643193;45764797;203842096;10/28/2024
8092206;45700947;322540987;10/28/2024
8339228;44018230;400202270;10/23/2024
106952684;44018227;400202264;10/23/2024
91697620;44282676;312933244;10/28/2024
8333548;45700865;260340268;10/28/2024
113475950;44252755;44252755;9/5/2024
113015593;45257822;391730020;10/28/2024
113459890;44700447;44700447;8/29/2024
113426437;44252780;44252780;8/27/2024
8344310;45461516;410876847;10/25/2024
78791553;45000483;344402216;10/23/2024
20015291;45257064;400232503;10/18/2024
106079280;45461560;413476946;10/28/2024
25295128;44015773;922806759;10/25/2024
90962133;45457231;310531997;10/18/2024
104962240;45459959;392330378;10/18/2024
85872687;45290754;842030545;10/23/2024
27680010;44253848;351832584;10/28/2024
75033003;44014639;264200266;10/25/2024
113574045;44700348;44700348;9/27/2024
90123506;44020509;413874231;10/23/2024
113489641;44005163;44005163;9/6/2024
69605807;45000203;214102415;10/23/2024
88152863;45462031;371732860;10/28/2024
113516495;44700106;44700106;9/16/2024
113516592;44701413;44701413;9/16/2024
63140241;44259538;211330182;10/23/2024
87842890;44012495;243806753;10/23/2024
37812858;44023620;980801263;10/23/2024
31552455;44015678;894800177;10/23/2024
97116920;45461555;341832418;10/23/2024
93038194;44286204;324331414;10/23/2024
95495592;44254057;310834398;10/28/2024
108846571;45460046;421878841;10/28/2024
50275178;45458642;260332451;10/23/2024
84755512;45257065;403272607;10/18/2024
92279880;45255332;330331109;10/17/2024
31396925;44014506;821001624;10/25/2024
66855420;44016913;953500399;10/25/2024
113506490;44252802;44252802;9/12/2024
73394513;45290692;262732598;10/23/2024
74600877;44278824;943407717;10/23/2024
62813625;45001219;904402681;10/25/2024
8101337;45457364;222731950;10/18/2024
89935012;44016777;914810325;10/25/2024
8295379;44016912;253415380;10/25/2024
87391759;44019257;230519631;10/28/2024
72012706;44015676;850111990;10/23/2024
8153310;44253691;914430496;10/28/2024
113489447;44252767;44252767;9/6/2024
113489382;44252738;44252738;9/6/2024
68461933;44014635;344402215;10/25/2024
92291058;44281927;324330839;10/17/2024
99263378;44287092;940631831;10/23/2024
113384513;44700084;44700084;8/30/2024
112889875;45257677;423176614;10/28/2024
80437117;45001260;230514374;10/28/2024
74876147;45763903;264740367;10/23/2024
41866150;44019350;984600522;10/28/2024
90512332;45460474;310530807;10/18/2024
74994352;44019329;281815847;10/28/2024
23419130;44254079;412976460;10/23/2024
113468059;44255105;44255105;8/31/2024
91512662;45001252;301502137;10/28/2024
59043342;44015677;931001863;10/23/2024
113421974;44252806;44252806;8/26/2024
81568770;44012499;292408231;10/23/2024
84829621;44023534;973502403;10/23/2024
89908309;44260508;202930764;10/28/2024
91985145;44282677;324330456;10/28/2024
113503814;44253493;44253493;9/12/2024
113466692;44253568;44253568;9/17/2024
19627866;44015230;331307303;10/28/2024
8106916;45764992;994540936;10/28/2024
113534329;44701358;44701358;9/18/2024
8295441;44016908;933006724;10/25/2024
66831512;44019895;204406348;10/23/2024
