
UC;ETAPA;Ligação_Tipo Fase;Início Fat-Outubro;Final Fat-Outubro;Início Fat-Novembro;Final Fat-Novembro;Início Fat-Dezembro;Final Fat-Dezembro;Início Fat-Janeiro;Final Fat-Janeiro;Início Fat-Janeiro_27;Final Fat-Janeiro_28;
73800554;1;MO;;;;;;;;;;;
36754846;1;MO;;;;;;;;;;;
23986786;1;MO;;;;;;;;;;;
87069172;1;MO;;;;;;;;;;;
31370861;1;MO;;;;;;;;;;;
53137353;1;MO;;;;;;;;;;;
34206884;1;BI;;;;;;;;;;;
36359769;1;BI;;;;;;;;;;;
108035379;1;BI;;;;;;;;;;;
108136558;1;BI;;;;;;;;;;;
107732939;1;BI;;;;;;;;;;;
107613808;1;BI;;;;;;;;;;;
107129655;1;BI;;;;;;;;;;;
107006685;1;BI;;;;;;;;;;;
59597810;1;BI;;;;;;;;;;;
69263299;1;BI;;;;;;;;;;;
60144629;1;MO;;;;;;;;;;;
71330240;1;MO;;;;;;;;;;;
74342339;1;MO;;;;;;;;;;;
92424708;1;BI;;;;;;;;;;;
97232955;1;MO;;;;;;;;;;;
95272925;1;MO;;;;;;;;;;;
8482780;1;MO;;;;;;;;;;;
110596145;1;BI;;;;;;;;;;;
8482799;1;MO;;;;;;;;;;;
77030303;1;MO;;;;;;;;;;;
51814854;1;MO;;;;;;;;;;;
37299298;1;MO;;;;;;;;;;;
101824688;1;BI;;;;;;;;;;;
8482829;1;MO;;;;;;;;;;;
110946057;1;TR;;;;;;;;;;;
75203049;1;MO;;;;;;;;;;;
8482845;1;MO;;;;;;;;;;;
73191370;1;MO;;;;;;;;;;;
109270479;1;BI;;;;;;;;;;;
94011222;1;BI;;;;;;;;;;;
8482853;1;TR;;;;;;;;;;;
32201532;1;BI;;;;;;;;;;;
76213234;1;MO;;;;;;;;;;;
74820249;1;MO;;;;;;;;;;;
74844326;1;MO;;;;;;;;;;;
74249657;1;MO;;;;;;;;;;;
73790940;1;MO;;;;;;;;;;;
55504701;1;MO;;;;;;;;;;;
107277182;1;MO;;;;;;;;;;;
109647904;1;BI;;;;;;;;;;;
44318251;1;BI;;;;;;;;;;;
8481938;1;BI;;;;;;;;;;;
64689271;1;BI;;;;;;;;;;;
46754504;1;MO;;;;;;;;;;;
8482454;1;MO;;;;;;;;;;;
39083969;1;MO;;;;;;;;;;;
90159519;1;MO;;;;;;;;;;;
8482470;1;MO;;;;;;;;;;;
97634280;1;MO;;;;;;;;;;;
95529047;1;MO;;;;;;;;;;;
45320349;1;MO;;;;;;;;;;;
78447780;1;MO;;;;;;;;;;;
78885914;1;MO;;;;;;;;;;;
20151764;1;MO;;;;;;;;;;;
96988738;1;BI;;;;;;;;;;;
66442605;1;MO;;;;;;;;;;;
84327774;1;MO;;;;;;;;;;;
84327901;1;MO;;;;;;;;;;;
52489221;1;MO;;;;;;;;;;;
49788353;1;MO;;;;;;;;;;;
79876110;1;MO;;;;;;;;;;;
79924662;1;MO;;;;;;;;;;;
79876030;1;MO;;;;;;;;;;;
92464130;1;MO;;;;;;;;;;;
93144180;1;MO;;;;;;;;;;;
91875897;1;MO;;;;;;;;;;;
92290973;1;MO;;;;;;;;;;;
38245027;1;MO;;;;;;;;;;;
8482438;1;MO;;;;;;;;;;;
8482446;1;MO;;;;;;;;;;;
83279130;1;MO;;;;;;;;;;;
90946006;1;MO;;;;;;;;;;;
59307200;1;MO;;;;;;;;;;;
106959670;1;BI;;;;;;;;;;;
26843994;1;MO;;;;;;;;;;;
67934129;1;MO;;;;;;;;;;;
96523204;1;BI;;;;;;;;;;;
80307213;1;MO;;;;;;;;;;;
70573360;1;MO;;;;;;;;;;;
103890823;1;MO;;;;;;;;;;;
61207187;1;MO;;;;;;;;;;;
76752186;1;MO;;;;;;;;;;;
60885084;1;MO;;;;;;;;;;;
26798646;1;BI;;;;;;;;;;;
73785130;1;MO;;;;;;;;;;;
87280051;1;MO;;;;;;;;;;;
44418809;1;TR;;;;;;;;;;;
54420946;1;MO;;;;;;;;;;;
79875793;1;BI;;;;;;;;;;;
90394607;1;BI;;;;;;;;;;;
40236730;1;MO;;;;;;;;;;;
89251628;1;MO;;;;;;;;;;;
8482772;1;MO;;;;;;;;;;;
40600017;1;BI;;;;;;;;;;;
40447219;1;MO;;;;;;;;;;;
99024551;1;MO;;;;;;;;;;;
42681987;1;BI;;;;;;;;;;;
49469436;1;MO;;;;;;;;;;;
68600070;1;MO;;;;;;;;;;;
33089370;1;MO;;;;;;;;;;;
56020031;1;MO;;;;;;;;;;;
26844010;1;MO;;;;;;;;;;;
8483060;1;TR;;;;;;;;;;;
8483078;1;TR;;;;;;;;;;;
64561607;1;MO;;;;;;;;;;;
21276609;1;BI;;;;;;;;;;;
8482918;1;MO;;;;;;;;;;;
103481087;1;MO;;;;;;;;;;;
49513648;1;MO;;;;;;;;;;;
50574582;1;MO;;;;;;;;;;;
67932320;1;BI;;;;;;;;;;;
31643639;1;MO;;;;;;;;;;;
75858339;1;MO;;;;;;;;;;;
55064515;1;MO;;;;;;;;;;;
66665299;1;MO;;;;;;;;;;;
8482942;1;MO;;;;;;;;;;;
29810353;1;MO;;;;;;;;;;;
8482969;1;MO;;;;;;;;;;;
8482977;1;MO;;;;;;;;;;;
94602743;1;MO;;;;;;;;;;;
19820283;1;MO;;;;;;;;;;;
