
UC;NEW_NIO;OLD_NIO;DATA
8441316;45257406;340732134;10/15/24
101378556;45257401;362430305;10/15/24
90905768;45257507;324031573;10/15/24
89601378;45257405;290631347;10/15/24
8441391;44715014;400540603;10/15/24
58565957;45257047;973630547;10/15/24
82122997;45257138;274831933;10/15/24
82123527;45257038;282633830;10/15/24
90707966;45257041;361732279;10/15/24
90216326;45257137;271633717;10/15/24
90391047;45257134;361732261;10/15/24
90109554;45257139;992730249;10/15/24
89754336;45257131;361730995;10/15/24
101786352;45255473;361831065;10/15/24
96390042;45460034;341332994;10/15/24
98018990;45460025;342342264;10/15/24
97831263;45255474;333730855;10/15/24
97788627;45460030;342340826;10/15/24
101400853;45460029;361730473;10/15/24
96654554;45460027;341831482;10/15/24
98018973;45460032;353131987;10/15/24
93532717;44714997;323941822;10/15/24
89385047;44714992;301642011;10/15/24
88816230;44714993;301642301;10/15/24
60079070;45257686;294431918;10/15/24
96736690;45257680;292430813;10/15/24
96736828;45457972;294230027;10/15/24
8395136;45257681;284534703;10/15/24
78110955;45457973;830130208;10/15/24
98822519;45457966;312831468;10/15/24
94439842;45257676;261431619;10/15/24
98567446;45257672;353130958;10/15/24
98822918;45257673;324031552;10/15/24
92179339;45457971;351233197;10/15/24
99530511;45457967;331431744;10/15/24
91139929;45257675;333930236;10/15/24
82869871;45458999;391931028;10/15/24
106638483;45256888;400230246;10/15/24
82157200;45256887;960831950;10/15/24
8325480;44715118;220942059;10/15/24
8211388;45256835;244131255;10/15/24
81785402;45459988;312833983;10/15/24
88796256;45459994;412876016;10/15/24
88796671;45459958;390933885;10/15/24
102686548;45457631;370731447;10/15/24
103759069;45457643;370731547;10/15/24
100399525;45457642;353134784;10/15/24
96747943;45457638;353130721;10/15/24
101743211;45457635;361831542;10/15/24
99873435;45457640;362430250;10/15/24
95299645;45457637;340131445;10/15/24
90547063;45457632;361032056;10/15/24
108801233;45253980;403372533;10/15/24
99250829;45458189;352432776;10/15/24
101800690;45458198;361831128;10/15/24
104260050;45458187;372143756;10/15/24
104819480;45458194;380832497;10/15/24
109462670;45458193;412678276;10/15/24
108330761;45458188;400488510;10/15/24
108337200;45458202;400788843;10/15/24
110478703;45458186;372434600;10/15/24
103537295;45458190;372433426;10/15/24
100639569;45458192;373134534;10/15/24
101048262;45458191;360131848;10/15/24
101673981;45458200;400288051;10/15/24
102186413;45458197;361733627;10/15/24
101110464;45458203;272233024;10/15/24
100127967;45257382;352430765;10/15/24
98782800;45257383;351831980;10/15/24
100761020;45257385;353230249;10/15/24
104404256;45257381;380432058;10/15/24
100764436;45257388;360133837;10/15/24
96845473;45257384;341332966;10/15/24
103634827;45257380;370730430;10/15/24
97496316;45257389;331230968;10/15/24
106130889;45257387;391230380;10/15/24
96832800;45257386;341834136;10/15/24
96328835;45459692;341330876;10/15/24
79377386;45458154;203630194;10/15/24
90138481;45458147;944032705;10/15/24
82505438;45458175;380832496;10/15/24
46615270;45458178;330330513;10/15/24
81411502;45458179;400488816;10/15/24
111982235;45458184;421276816;10/15/24
92811183;45458456;324030736;10/15/24
92770428;45458459;330331253;10/15/24
61156280;45458847;331131849;10/15/24
48201332;45458853;421878468;10/15/24
8129630;45458846;423177338;10/15/24
91270006;45458845;352432811;10/15/24
64267466;45458851;962731950;10/15/24
56654855;45458850;352432809;10/15/24
88600858;45458849;412678355;10/15/24
73783382;44711715;411979124;10/15/24
86462962;44711717;861440355;10/15/24
69009902;44711712;400941061;10/15/24
104920173;45460447;380351459;10/15/24
60593709;45460451;783130514;10/15/24
85577707;45460446;294732924;10/15/24
105355550;45460448;390134721;10/15/24
57342920;45257700;324030814;10/15/24
74898280;44714944;280241356;10/15/24
35081635;45257706;962030119;10/15/24
82261970;45257703;272433362;10/15/24
82354359;45257709;284531717;10/15/24
85160849;45257701;260133082;10/15/24
89095138;45257704;301731952;10/15/24
72397829;45257708;260230101;10/15/24
54863406;45257707;793530360;10/15/24
109238591;44711605;413180315;10/15/24
70237760;44708376;400240203;10/15/24
83438629;44708373;421979518;10/15/24
94776776;44709482;401573067;10/15/24
38546370;44708378;994541106;10/15/24
8303991;45457715;331131616;10/15/24
8304130;45457717;372933615;10/15/24
28934067;44715334;823645476;10/15/24
8304068;44714604;260340181;10/15/24
57882738;45457720;211830566;10/15/24
8299552;45457722;340732075;10/15/24
78818761;45457721;430378615;10/15/24
8299587;44714603;940643811;10/15/24
88611523;45257835;410878201;10/15/24
60965568;45257838;401331212;10/15/24
97877069;45456861;330331382;10/15/24
97223808;45456860;341832490;10/15/24
96609559;45456855;353132847;10/15/24
96654465;45456863;324330045;10/15/24
100468012;45456859;353131767;10/15/24
101668872;45456862;361730595;10/15/24
100672140;45456856;360131691;10/15/24
106202847;45456857;390232231;10/15/24
97420824;45456858;323740340;10/15/24
97359785;45456864;350133584;10/15/24
98263374;45459945;342730360;10/15/24
69487073;44708710;854040330;10/15/24
101485310;44708696;342641473;10/15/24
92685900;44715311;331940921;10/15/24
102949930;44715310;351742782;10/15/24
104944170;44715312;390673135;10/15/24
107778963;44715313;413779588;10/15/24
98691244;44708692;331041394;10/15/24
103258035;44715148;372143991;10/15/24
105378143;44572011;400473875;10/15/24
111962528;44708837;400643711;10/15/24
109447883;44715315;412079630;10/15/24
107398354;44715149;420579310;10/15/24
102160384;44715127;352542202;10/15/24
72848740;44715184;990340129;10/15/24
79240704;44715188;341340081;10/15/24
100555969;45257791;353134470;10/15/24
102037639;45257794;373332928;10/15/24
97461725;45257777;350133777;10/15/24
99093707;45257796;352430834;10/15/24
97330205;45257790;330332069;10/15/24
96483342;45257798;312131352;10/15/24
98734830;45458573;353132846;10/15/24
97040517;45458561;341832920;10/15/24
100126030;45458563;353132361;10/15/24
100322387;45458555;353134535;10/15/24
91650569;44714786;312640157;10/15/24
88971368;44714809;302340160;10/15/24
91115353;44714807;982240743;10/15/24
89159713;44714811;311244059;10/15/24
54536669;44714758;851640180;10/15/24
89496264;44714671;884040114;10/15/24
83749381;44714672;823640699;10/15/24
85889067;45251855;361730683;10/15/24
85218740;45251857;984730150;10/15/24
90570200;45251859;350133082;10/15/24
59027118;45251854;982032778;10/15/24
83348603;45255948;353231199;10/15/24
37156322;44714612;961542961;10/15/24
89031458;44714609;302340191;10/15/24
99926555;45460102;412678335;10/15/24
110751817;45460098;413377921;10/15/24
62019015;44710066;952840918;10/15/24
20066570;45460096;930832032;10/15/24
96677759;45255827;312930883;10/15/24
97348589;45255828;353134749;10/15/24
98748432;45458714;352432848;10/15/24
85132756;44715004;321341291;10/15/24
87701596;44715008;321341371;10/15/24
91368723;44714800;312641408;10/15/24
91275687;44709256;300440284;10/15/24
85916820;44715482;301140495;10/15/24
100806333;44715483;312843908;10/15/24
79069401;45458592;261431492;10/15/24
63961857;45458580;373530628;10/15/24
84126876;45458575;262731917;10/15/24
85789925;45458583;262333582;10/15/24
88628990;45458594;262333623;10/15/24
90107950;45458585;961531395;10/15/24
73695556;45458589;272434280;10/15/24
63213567;44715418;282741922;10/15/24
63213168;45458587;272233589;10/15/24
85021105;45457691;300931756;10/15/24
85580350;45457693;370534490;10/15/24
85951668;45457685;301033720;10/15/24
90043332;45457699;331431900;10/15/24
85015652;45457688;300931674;10/15/24
86352172;45457694;324030410;10/15/24
85020630;45457689;300932215;10/15/24
86275453;45457700;312832230;10/15/24
91917735;45458537;874031526;10/15/24
99350106;45458535;313330438;10/15/24
98789252;45458544;312831531;10/15/24
98325302;45458543;353134938;10/15/24
98827960;45458540;312831604;10/15/24
98441582;45458536;973631369;10/15/24
98507478;45458542;313330491;10/15/24
60261730;45256517;882030063;10/15/24
60260548;44715363;260340515;10/15/24
62013750;45256546;333930069;10/15/24
39811980;45252119;980432394;10/15/24
62013670;45256543;333934936;10/15/24
38054272;44715435;980842232;10/15/24
102549427;45256514;370534439;10/15/24
81098529;45252110;324330747;10/15/24
66834228;45252116;984730762;10/15/24
69199507;45252112;941632672;10/15/24
80879624;45256511;340133503;10/15/24
67708285;45252113;350133019;10/15/24
75422620;44714772;302442346;10/15/24
31620809;45457549;422978200;10/15/24
8148651;44711392;761148502;10/15/24
8149640;44711393;822645483;10/15/24
75089815;45257719;280430678;10/15/24
38875438;44715056;982341348;10/15/24
56287925;45457677;961430373;10/15/24
87479605;45457679;250130309;10/15/24
41076702;45457684;952731259;10/15/24
38285738;45457676;990830221;10/15/24
84396199;45457727;793635372;10/15/24
50685244;44710045;412079582;10/15/24
84446170;45457680;294530938;10/15/24
90510291;45457734;412876102;10/15/24
80774849;45457681;292230661;10/15/24
